model,location_id,rmse,mae,mape
Moving Average (3h),SITE-007,7.118188035333006,7.118188035333006,9.417936752466664
Moving Average (3h),SITE-008,13.749146392417426,10.198279425722136,15.736776399977556
Moving Average (3h),SITE-009,7.7053491968467185,7.7053491968467185,11.458893497564162
Moving Average (3h),SITE-010,25.29525453966121,18.37262563690414,45.4636364733721
Moving Average (3h),SITE-011,0.6249853243738954,0.6249853243738954,0.9428592448576328
Moving Average (3h),SITE-012,0.2667646420054979,0.2667646420054979,0.3962172755363457
Moving Average (3h),SITE-013,6.377190035300387,6.377190035300387,9.070135272689779
Moving Average (3h),SITE-014,12.913529392078125,12.913529392078125,25.888587774240325
Moving Average (3h),SITE-015,9.76610259988777,8.41800770539533,11.22252182728788
Moving Average (3h),SITE-016,5.904425693718205,5.774166665349053,8.600073913977058
Moving Average (3h),SITE-018,10.32473086824821,10.32473086824821,14.354143325281482
Moving Average (3h),SITE-019,4.1905206717191845,4.1905206717191845,5.734126875009419
Moving Average (3h),SITE-020,13.93414362524976,13.93414362524976,19.382146156829368
Moving Average (3h),SITE-021,2.394658132507132,2.178065711731648,3.0582886210394187
Moving Average (3h),SITE-022,6.630127099115242,6.630127099115242,11.31089540794017
Moving Average (3h),SITE-023,8.74752522784351,8.74752522784351,18.973665523637965
Moving Average (3h),SITE-024,10.201682178130257,9.471677966789215,14.812000649125359
Moving Average (3h),SITE-025,14.607359789855959,10.486001761711314,23.732603161940112
Moving Average (3h),SITE-026,4.466163094912983,4.465146577812707,6.794084729491873
Moving Average (3h),SITE-027,9.287298552881822,9.287298552881822,12.21380815053289
Moving Average (3h),SITE-028,13.759373883855497,13.124905434250756,23.06863735788695
Moving Average (3h),SITE-029,12.751391972557357,12.751391972557357,26.010504676552642
Moving Average (3h),SITE-030,3.8723792190662607,3.8723792190662607,6.256174030549386
Moving Average (3h),SITE-031,9.533093759075939,9.533093759075939,16.10081672981911
Moving Average (3h),SITE-033,8.468102061874696,8.468102061874696,14.31499968246136
Moving Average (3h),SITE-034,11.866935899126071,11.289370322360272,15.88329487227145
Moving Average (3h),SITE-036,16.718462245593578,16.718462245593578,24.967344724188887
Moving Average (3h),SITE-037,14.954225043735496,12.27213662449984,16.300646967530614
Moving Average (3h),SITE-039,11.027852532789355,8.092358096123428,10.259809395026675
Moving Average (3h),SITE-040,19.58214993987346,19.578564186672747,30.97293062082027
Moving Average (3h),SITE-041,5.936202055970533,5.270945744434613,7.770896722012663
Moving Average (3h),SITE-042,10.40356184648774,10.40356184648774,16.423991908891143
Moving Average (3h),SITE-043,4.5964842220385975,4.5964842220385975,7.800530513215542
Moving Average (3h),SITE-044,0.6859351543010632,0.6859351543010632,1.1974648166920203
Moving Average (3h),SITE-045,2.7530191754969304,2.2354570855871096,3.605717640171318
Moving Average (3h),SITE-046,2.0262364373929103,2.0262364373929103,3.0976110607433083
Moving Average (3h),SITE-047,4.267999207916702,4.267999207916702,6.732242307888217
Moving Average (3h),SITE-048,7.01762532903015,5.865893999501708,11.142802720618858
Moving Average (3h),SITE-049,6.968278780153739,6.968278780153739,10.58803219265206
Moving Average (3h),SITE-050,16.23103266063626,16.23103266063626,34.48929429105213
Naive Persistence,SITE-001,8.705882417792836,8.705882417792836,11.482326378670331
Naive Persistence,SITE-002,17.32317614999144,13.695901420072357,23.926680537097717
Naive Persistence,SITE-003,28.40288980121505,28.397906901720354,63.60867926295002
Naive Persistence,SITE-004,0.12587553475155033,0.12587553475155033,0.21841144240434957
Naive Persistence,SITE-005,18.879348868857672,18.802458375323624,30.504204866192318
Naive Persistence,SITE-006,7.996903368432427,7.996903368432427,10.741002228420543
Naive Persistence,SITE-007,3.5606896324393915,3.5606896324393915,4.711079503241747
Naive Persistence,SITE-008,15.852879277632233,11.248688988586238,16.288547102354066
Naive Persistence,SITE-009,4.4681455355634725,4.4681455355634725,6.644735042584616
Naive Persistence,SITE-010,30.78754587802377,29.924672074423334,64.52044405811752
Naive Persistence,SITE-011,7.60419671874925,7.60419671874925,11.471768850206738
Naive Persistence,SITE-012,5.390094342954981,5.390094342954981,8.00574048867195
Naive Persistence,SITE-013,13.773353818510635,13.773353818510635,19.589534199387447
Naive Persistence,SITE-014,0.7921212982356067,0.7921212982356067,1.588016810477682
Naive Persistence,SITE-015,12.398793481850452,10.282927536524587,13.417948686293077
Naive Persistence,SITE-016,10.252395663537149,8.18880406595455,12.374953617098907
Naive Persistence,SITE-018,8.787820651862084,8.787820651862084,12.217426174431536
Naive Persistence,SITE-019,2.9108967365369978,2.9108967365369978,3.9831449394822465
Naive Persistence,SITE-020,13.000220968794011,13.000220968794011,18.08307633858819
Naive Persistence,SITE-021,6.828098266106355,6.522477919984826,9.202264387948519
Naive Persistence,SITE-022,3.2093223428595934,3.2093223428595934,5.47505482289992
Naive Persistence,SITE-023,23.956148455520186,23.956148455520186,51.96166186327318
Naive Persistence,SITE-024,11.030728882773941,9.266881048351408,14.4751552101363
Naive Persistence,SITE-025,16.85154088937341,14.02725058919799,30.063263443248378
Naive Persistence,SITE-026,3.9505624778281523,3.0243432123638065,4.442170987091684
Naive Persistence,SITE-027,19.49087505128066,19.49087505128066,25.63262149987428
Naive Persistence,SITE-028,11.249503038919595,8.480224669696348,12.67034096350477
Naive Persistence,SITE-029,6.222331423171823,6.222331423171823,12.692416712605544
Naive Persistence,SITE-030,2.5720090368799333,2.5720090368799333,4.155310012934775
Naive Persistence,SITE-031,10.819085365309405,10.819085365309405,18.2727784970406
Naive Persistence,SITE-033,4.013048207971437,4.013048207971437,6.783903099308596
Naive Persistence,SITE-034,10.384086975796132,7.572993470714451,10.292971346934083
Naive Persistence,SITE-036,9.52895436039833,9.52895436039833,14.230536569823201
Naive Persistence,SITE-037,15.123252142039734,13.22370852363315,17.977461260027763
Naive Persistence,SITE-039,8.877071280342347,7.254835529279553,9.368822173870406
Naive Persistence,SITE-040,23.603114702855056,22.67387507692623,37.984190929851856
Naive Persistence,SITE-041,7.056187025658593,6.490611460908605,9.719063656854265
Naive Persistence,SITE-042,2.494688786457367,2.494688786457367,3.9383385275697402
Naive Persistence,SITE-043,11.091573327890956,11.091573327890956,18.823116104466536
Naive Persistence,SITE-044,1.938928461303334,1.938928461303334,3.3848660473734506
Naive Persistence,SITE-045,5.184060055000553,4.11103971706699,6.620156954402325
Naive Persistence,SITE-046,9.100187887120441,9.100187887120441,13.91192169570111
Naive Persistence,SITE-047,15.30896225041544,15.30896225041544,24.1479996437061
Naive Persistence,SITE-048,3.686673468072315,3.1530559909255444,5.9430710922054
Naive Persistence,SITE-049,13.258209221409224,13.258209221409224,20.145340116558906
Naive Persistence,SITE-050,10.803078279607135,10.803078279607135,22.955443059285795
Random Forest,SITE-001,9.76644947749054,9.76644947749054,12.88112509217319
Random Forest,SITE-002,12.275422165404107,10.867090477053953,17.18661594198624
Random Forest,SITE-003,22.905884753948985,17.811594488037738,48.83528882650994
Random Forest,SITE-004,6.272758827812623,6.272758827812623,10.884103143166971
Random Forest,SITE-005,10.960817912539461,10.666307046695593,18.24855011845054
Random Forest,SITE-006,9.919012353030652,9.919012353030652,13.322673649927744
Random Forest,SITE-007,12.196659777163028,12.196659777163028,16.13716437420605
Random Forest,SITE-008,9.226196568959745,7.957904044584955,13.258402147515838
Random Forest,SITE-009,0.34445621910660407,0.34445621910660407,0.5122528555787554
Random Forest,SITE-010,17.43376234729008,12.747618420256238,31.46712250153005
Random Forest,SITE-011,1.5295331317060317,1.5295331317060317,2.307469307363011
Random Forest,SITE-012,5.288054052757452,5.288054052757452,7.8541832002957435
Random Forest,SITE-013,5.372154086331491,5.372154086331491,7.640695039514315
Random Forest,SITE-014,17.06969159226064,17.06969159226064,34.2207150073584
Random Forest,SITE-015,12.660372614456183,8.684725834027782,10.800192210809529
Random Forest,SITE-016,2.5635908653434845,2.378961153501173,3.5331572880721196
Random Forest,SITE-018,7.866535527561226,7.866535527561226,10.936592912391452
Random Forest,SITE-019,8.069288485406176,8.069288485406176,11.041664650084867
Random Forest,SITE-020,6.650020347166858,6.650020347166858,9.250060124334833
Random Forest,SITE-021,5.616473781863259,5.541474256700699,7.85480729214596
Random Forest,SITE-022,6.134697836717152,6.134697836717152,10.465700665027091
Random Forest,SITE-023,20.177055269527806,20.177055269527806,43.76468635007932
Random Forest,SITE-024,6.772549658037183,6.436637772910942,10.1794955644899
Random Forest,SITE-025,16.28839258543801,12.536918816570235,27.67958931951094
Random Forest,SITE-026,4.561647779722467,4.485226660004866,6.777229266105811
Random Forest,SITE-027,9.057517370880632,9.057517370880632,11.911620893648124
Random Forest,SITE-028,9.463583671643462,8.62015324717392,15.415965024614941
Random Forest,SITE-029,15.279064087428324,15.279064087428324,31.166492940903463
Random Forest,SITE-030,3.0552063384620425,3.0552063384620425,4.935958353083252
Random Forest,SITE-031,6.59220020882006,6.59220020882006,11.133826026565314
Random Forest,SITE-033,4.523013209432136,4.523013209432136,7.645979250568419
Random Forest,SITE-034,11.30013309756032,10.833123435529771,15.184772918018584
Random Forest,SITE-036,0.9597725617200865,0.9597725617200865,1.4333239536787592
Random Forest,SITE-037,11.344668393574835,10.521666128711303,14.65654747453214
Random Forest,SITE-039,11.89222847035332,9.251675826204975,11.790170366318623
Random Forest,SITE-040,15.073628596424237,14.614692751698517,21.74898956655575
Random Forest,SITE-041,4.920341670209925,2.9917672738863175,4.240377729476153
Random Forest,SITE-042,3.753666796493455,3.753666796493455,5.92587365788526
Random Forest,SITE-043,8.359849330353427,8.359849330353427,14.18720409713153
Random Forest,SITE-044,6.490714715060797,6.490714715060797,11.331103906447543
Random Forest,SITE-045,2.945518025620527,2.588510256331176,4.185659931453451
Random Forest,SITE-046,1.1901320573530683,1.1901320573530683,1.81941562029426
Random Forest,SITE-047,0.008341201658041086,0.008341201658041086,0.013157216757849857
Random Forest,SITE-048,12.155543426135509,11.95456372342924,22.926644491618784
Random Forest,SITE-049,0.652620837452929,0.652620837452929,0.9916323176144091
Random Forest,SITE-050,18.671414110843457,18.671414110843457,39.67485677363796
SARIMA,SITE-001,7.65820016362899,7.65820016362899,10.100521639513266
SARIMA,SITE-002,13.8808938776431,11.99911933217104,19.22102958214608
SARIMA,SITE-003,17.903021705878817,13.463203977026101,37.49413837875365
SARIMA,SITE-004,22.25368574031912,22.25368574031912,38.613219089393716
SARIMA,SITE-005,11.747757872521246,11.126620510518539,17.304016742986185
SARIMA,SITE-006,10.955603147488866,10.955603147488866,14.71496558097535
SARIMA,SITE-007,7.826676412744135,7.826676412744135,10.355324005401686
SARIMA,SITE-008,12.544257052320697,9.930673771793826,14.596751581870876
SARIMA,SITE-009,5.950755096379602,5.950755096379602,8.849575423188636
SARIMA,SITE-010,32.09141976153733,30.55125065327606,66.97118474093337
SARIMA,SITE-011,7.255209660285445,7.255209660285445,10.945283408747924
SARIMA,SITE-012,3.616912942895418,3.616912942895418,5.372088974432503
SARIMA,SITE-013,8.481465610532815,8.481465610532815,12.062999529945085
SARIMA,SITE-014,14.258841839535137,14.258841839535137,28.58562266859961
SARIMA,SITE-015,8.19110198465161,8.025905077878155,11.22805561215939
SARIMA,SITE-016,2.070527474605056,1.738552448674028,2.6231323172965357
SARIMA,SITE-018,5.216172085028489,5.216172085028489,7.251877329615571
SARIMA,SITE-019,12.29632536824137,12.29632536824137,16.825758725816367
SARIMA,SITE-020,13.973697152469342,13.973697152469342,19.43716441027975
SARIMA,SITE-021,9.019657320792424,8.872550363370006,12.569267126080447
SARIMA,SITE-022,10.922253585259483,10.922253585259483,18.633197535286374
SARIMA,SITE-023,14.521378118161628,14.521378118161628,31.49733943941968
SARIMA,SITE-024,23.377820074520447,17.473426600060044,28.171106646808898
SARIMA,SITE-025,15.997511272469167,11.425334645762092,25.90473436932382
SARIMA,SITE-026,10.82970033909805,8.727453917204596,12.878381854433327
SARIMA,SITE-027,34.06558908451028,34.06558908451028,44.799956332187726
SARIMA,SITE-028,14.138861519697889,11.286143263277385,20.939686524430602
SARIMA,SITE-029,18.224997318890942,18.224997318890942,37.17565729399352
SARIMA,SITE-030,0.3519405683110506,0.3519405683110506,0.5685913799256734
SARIMA,SITE-031,9.615359881981476,9.615359881981476,16.239759218107743
SARIMA,SITE-033,2.5553624807000475,2.5553624807000475,4.319741641339719
SARIMA,SITE-034,14.529249860061148,12.050820580814296,16.088062813948277
SARIMA,SITE-036,7.658371095035044,7.658371095035044,11.437008281422543
SARIMA,SITE-037,15.240573832370446,12.083874509217324,15.857818256276278
SARIMA,SITE-039,6.320890336522548,5.187750012802425,7.169406565921059
SARIMA,SITE-040,12.394547454205034,9.125304744284001,11.479428443630917
SARIMA,SITE-041,4.568124744408295,3.2154781850633523,4.617182912027208
SARIMA,SITE-042,8.798170093652551,8.798170093652551,13.889577104785639
SARIMA,SITE-043,3.6908528238310723,3.6908528238310723,6.263615555132492
SARIMA,SITE-044,4.200926293967228,4.200926293967228,7.333727398281501
SARIMA,SITE-045,8.455264942252004,8.124800777281981,13.09358221381404
SARIMA,SITE-046,0.5503282080053111,0.5503282080053111,0.8413148202732347
SARIMA,SITE-047,0.36529629662546625,0.36529629662546625,0.5762098499210511
SARIMA,SITE-048,24.47864502742758,24.000089470683566,46.0574197517586
SARIMA,SITE-049,22.371174430829555,22.371174430829555,33.99214103426442
SARIMA,SITE-050,22.269561189527835,22.269561189527835,47.3205535135748
